time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.3771743003312617e-07,7.773525092200127e-07,0.0044349795311415755,0.0004089912002314122,7.245887228712888e-05,0.0,-9.840715123833757e-06,5.55462891700198e-05,0.14761735961571545,0.013689649396551214,0.0024253733487770894,0.0,452.0701734059644,452.26370413542253,451.0830195554728,452.176716353024
0.12000000000000001,-4.05845613076226e-06,1.9271951759450463e-05,0.022379579529291763,0.0012998383575029138,0.0005105333959996017,0.0,-0.00016562144017062664,0.0006750714243606968,0.44999354712886497,0.016016932201002265,0.012221432788878488,0.0,496.43475147154766,497.14053242803993,498.65505501965646,498.7911838762564
0.18,-2.6563573637225695e-05,8.659510699446545e-05,0.04928940320832853,0.0028269629182773315,0.002045622965908045,0.0,-0.000694423000021563,0.0016850732823994327,0.44700535153457627,0.034960160502257524,0.03905203677874105,0.0,403.99154898359944,406.36069568868993,402.8681982972042,404.52951907341094
0.23999999999999996,-0.0001227839474393251,0.00025787874850953524,0.08057708584334604,0.004421811025412836,0.004231648866427129,0.0,-0.0027566426444215514,0.004216011214888868,0.5956344840918906,0.018132764023727016,0.033795412589335785,0.0,454.38916551114636,453.8776978565156,454.09972667383045,452.6737142768605
0.3,-0.00038019603828180087,0.0006037381122261582,0.11854648621696964,0.006062396300770878,0.006482432422139972,0.0,-0.0060367263391530165,0.007454830072013484,0.6698662287223084,0.03662911505126981,0.04126155766962988,0.0,430.99837729026586,431.5445467559075,429.703342203886,431.21636380649625
0.36000000000000004,-0.0008889868513884031,0.0011876834614454792,0.1619922730802358,0.009023267971766558,0.00975895389848258,0.0,-0.01123184227796109,0.01228769598525726,0.7780993557041933,0.06217226950353304,0.0680664479729099,0.0,441.38855696775676,443.4852678312407,440.72899876022643,442.73658399121587
0.4200000000000001,-0.0017803611113133028,0.0021234778781498687,0.21153884745975884,0.012309994427765147,0.014803187505002313,0.0,-0.01895669316705824,0.019251294683280826,0.8732394385227106,0.04732691193574322,0.10020402045525474,0.0,437.05678310688603,439.5542082297981,439.22719540538674,437.8499249396871
0.48000000000000015,-0.0033064173158697256,0.003595166037012679,0.27079460421011053,0.016044796580192866,0.020036490691961006,0.0,-0.03256756366472223,0.030212975929614548,1.1013848602725511,0.0773006603083247,0.0741355770820541,0.0,481.2323663581241,479.0251026966424,477.7967656222101,479.9510044223971
0.5400000000000001,-0.005703513174912664,0.0057683791427805275,0.3404334324435021,0.02168675746146498,0.024703086198356594,0.0,-0.04781032402640658,0.04277751242495887,1.2195926722641146,0.11090472880424226,0.08145042410946274,0.0,446.86189414384273,447.2755810619765,446.4283008972989,448.9680368397822
0.6000000000000002,-0.009162186315733945,0.00886245835813736,0.418975597726935,0.028180226915332618,0.029672512158812836,0.0,-0.06802779940800827,0.061090494677559906,1.3979645649815582,0.10552778437256746,0.08421331319844502,0.0,466.7922118969581,466.8077211871209,466.707502551779,466.01994029302136
0.6600000000000003,-0.01397223512164509,0.01322334746385368,0.508884694615404,0.034501141867112395,0.03607703032968956,0.0,-0.09298471201809205,0.0849932945558925,1.598376661938884,0.10517425800787003,0.12947159711739778,0.0,473.6070924288926,476.8630755438846,473.41723684222524,473.1311285214244
0.7200000000000003,-0.020198516452910698,0.018939577907736323,0.6043962095503225,0.04115112098291984,0.04293509630684422,0.0,-0.11517052770748924,0.10610516375010122,1.5853272055954808,0.11653518153146791,0.09901367783917576,0.0,409.28045131976023,406.2324993511128,406.37621389988055,407.13361115216503
0.7800000000000004,-0.02801318888932458,0.026175874725835855,0.702354917541531,0.047886045423444656,0.04908288320337473,0.0,-0.14592150759036468,0.13578091400680717,1.6796189428521913,0.10793053361239945,0.10594412716813999,0.0,442.90996435144007,443.23322707911075,443.38601500525397,442.38893413657723
0.8400000000000004,-0.03787324370696056,0.03540306514984232,0.8074245531462996,0.05552252637819777,0.054971762706968796,0.0,-0.18337990327106413,0.1725521398745537,1.822174339225112,0.1467870967861127,0.090289615556142,0.0,458.99105722184964,457.480394322913,458.09264647115526,460.9066600993399
0.9000000000000005,-0.0499167359781511,0.046816701519353084,0.9176390899646858,0.06423318370232689,0.06021419611225376,0.0,-0.21855069527426388,0.20869435311163154,1.8514626911137857,0.14355710024006152,0.08443495025440723,0.0,424.5050413486542,423.7701338289412,423.4726519737806,422.82846588116075
0.9600000000000005,-0.06429716871502657,0.06069833398651051,1.0317051375242177,0.0728156507546096,0.06563461922049019,0.0,-0.2613182532694266,0.25487590235857266,1.9503068235509011,0.14252548847301294,0.09629948735409954,0.0,446.843602580438,447.59637669493355,446.4908722742861,446.0486151634664
1.0200000000000005,-0.08111275179637172,0.07725406042017342,1.148022281771019,0.08125090144171221,0.07128097238601772,0.0,-0.29968393563530404,0.29769117989480803,1.926894637238327,0.13863395550744784,0.09189410062777086,0.0,407.9266503025461,407.28281907904966,406.7309202153048,406.0207914903135
1.0800000000000005,-0.1006648890994181,0.09690609216838708,1.2675565407529317,0.09003237429795075,0.0777215283956405,0.0,-0.35267632250377146,0.35824942103980606,2.0569854359595143,0.1541524981365996,0.12292968908070986,0.0,456.4813568914747,458.7229792830259,457.2485551128611,458.1392771232798
1.1400000000000006,-0.12326099471147708,0.12005753125055157,1.3913331966903697,0.09946665588124404,0.08520524858408685,0.0,-0.40118844228894895,0.4142838170509277,2.068692668019503,0.1603488208320017,0.1265431213625168,0.0,421.13995589079707,421.13916446941136,419.8178986445157,419.96905716492336
